time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/n_updates,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss
651264,595,213.21,80.8969,1094,318,0.2,-0.006600057485047728,0.8010987043380737,0.0003,0.0041431547,3170,0.025048828125,42.67978057861328,20.614282608032227,-0.3819331407546997
653312,597,215.39,81.33709999999999,1093,319,0.2,-0.007180464168777689,0.7803083658218384,0.0003,0.003214504,3180,0.028857421875,50.793209838867185,21.407148361206055,-0.37562585473060606
655360,599,214.85,82.75450000000001,1093,320,0.2,-0.009579625469632447,0.8073521256446838,0.0003,0.0049632983,3190,0.043994140625,36.428457736968994,16.094289779663086,-0.40055668354034424
657408,601,213.94,81.7426,1092,321,0.2,-0.005147759514511563,0.7747291326522827,0.0003,0.00314607,3200,0.023828125,48.9028977394104,23.247196197509766,-0.3779015488922596
659456,603,217.59,81.9501,1092,322,0.2,-0.006356147312908433,0.8217436075210571,0.0003,0.0035970341,3210,0.0283203125,49.733917808532716,24.454912185668945,-0.4067832037806511
661504,606,222.5,84.85300000000001,1091,323,0.2,-0.007702892366796732,0.7927138805389404,0.0003,0.005478812,3220,0.035302734375,33.77578754425049,12.674964904785156,-0.4163219451904297
663552,608,227.8,87.616,1091,324,0.2,-0.006596504407934844,0.7674504518508911,0.0003,0.0030166253,3230,0.030322265625,43.154795455932614,20.039588928222656,-0.3866547219455242
665600,609,228.56,88.14639999999997,1091,325,0.2,-0.006707600969821215,0.7638150453567505,0.0003,0.004054337,3240,0.03125,44.71380453109741,19.935226440429688,-0.3928814671933651
667648,611,234.35,91.65249999999996,1090,326,0.2,-0.005048795160837472,0.7812886238098145,0.0003,0.0020452961,3250,0.018310546875,49.770738410949704,23.33340835571289,-0.3670713432133198
669696,614,239.68,93.6832,1090,327,0.2,-0.004700720828259364,0.7625240087509155,0.0003,0.0015551433,3260,0.012548828125,46.724342918396,20.77387809753418,-0.3553080640733242
671744,616,237.52,93.09579999999997,1089,328,0.2,-0.007242219848558306,0.8187451362609863,0.0003,0.0034296934,3270,0.0263671875,37.28066520690918,14.85822868347168,-0.3919886603951454
673792,618,241.27,92.6313,1088,329,0.2,-0.007779949088580906,0.8447723984718323,0.0003,0.0037662005,3280,0.03232421875,34.97335233688354,15.782522201538086,-0.3882190391421318
675840,620,238.38,91.25120000000001,1088,330,0.2,-0.009040057891979814,0.8082394003868103,0.0003,0.0041897735,3290,0.036767578125,42.501693916320804,16.378726959228516,-0.37880475372076033
677888,622,242.21,93.71690000000001,1088,331,0.2,-0.006583596672862768,0.8634733557701111,0.0003,0.0031665498,3300,0.023876953125,37.97890152931213,17.46295928955078,-0.36431323662400245
679936,624,244.01,93.59990000000002,1089,332,0.2,-0.006624771293718368,0.8329708576202393,0.0003,0.0030111936,3310,0.03310546875,52.383227062225345,22.13485336303711,-0.3453193597495556
681984,626,251.93,97.48269999999998,1088,333,0.2,-0.006618442083708942,0.818515956401825,0.0003,0.0038049226,3320,0.032763671875,42.472266387939456,17.41875457763672,-0.3684386394917965
684032,628,251.79,98.60509999999998,1088,334,0.2,-0.006907298596343025,0.8528034090995789,0.0003,0.0030732967,3330,0.0279296875,43.16485147476196,19.982275009155273,-0.3688336372375488
686080,630,248.16,95.9144,1088,335,0.2,-0.005793895944952965,0.7876158356666565,0.0003,0.0027094472,3340,0.01904296875,46.88760099411011,18.8746280670166,-0.36962189674377444
688128,632,243.82,95.70880000000001,1088,336,0.2,-0.00680857640109025,0.7653772830963135,0.0003,0.0026095456,3350,0.01708984375,50.670232963562015,21.363651275634766,-0.3804824039340019
690176,633,244.82,95.34380000000002,1088,337,0.2,-0.0076506017823703585,0.8430463075637817,0.0003,0.004477586,3360,0.033935546875,40.49427423477173,18.37361717224121,-0.3560078054666519
692224,635,243.17,95.16829999999999,1088,338,0.2,-0.0069241082179360095,0.7596425414085388,0.0003,0.003441075,3370,0.038330078125,46.45043268203735,23.93457794189453,-0.36770981177687645
694272,637,239.36,93.77740000000001,1088,339,0.2,-0.006608773639891296,0.8319128155708313,0.0003,0.0031849302,3380,0.02998046875,42.767210483551025,19.86520767211914,-0.33810625299811364
696320,639,239.97,95.93130000000001,1088,340,0.2,-0.007121069257846102,0.8563505411148071,0.0003,0.0044370852,3390,0.03525390625,38.858067417144774,16.93826675415039,-0.34610290750861167
698368,642,241.23,97.4557,1087,341,0.2,-0.004751213168492541,0.8239731192588806,0.0003,0.002545029,3400,0.02685546875,47.34850492477417,19.766681671142578,-0.3609627649188042
700416,644,238.92,95.8938,1087,342,0.2,-0.005671126750530675,0.7999524474143982,0.0003,0.0038257553,3410,0.03525390625,54.15649185180664,22.54463005065918,-0.34781878590583803
702464,646,242.0,99.36299999999997,1086,343,0.2,-0.006615270429756492,0.8551845550537109,0.0003,0.004365897,3420,0.030517578125,37.428331804275516,17.801538467407227,-0.35776152461767197
704512,648,242.26,99.8294,1087,344,0.2,-0.005062080908101052,0.8051348924636841,0.0003,0.002535095,3430,0.01416015625,46.75300092697144,18.9265079498291,-0.35696573108434676
